ITEM,CBA,OBM,ATIVIDADE,TEM ÁREA OPERACIONAL DELIMITADA?,OBM_NOMECOMPLETO,DATA_DE_CRIAÇÃO,POPULACAO_DENTRO_DA_AREA_OPERACIONAL_hab,AREA_km2,DENSIDADE_DEMOGR_hab_km2,VIATURAS OPERACIONAIS,VIATURAS ADMINISTRATIVAS,DIVISA DE ÁREA,ENDEREÇO,Nº,BAIRRO,CEP,MUNICÍPIO,TELEFONE,LONGITUDE (x),LATITUDE (Y),G MAPS,ICONE_MAPA,LATITUDE,LONGITUDDE,UTM LATITUDE,UTM LONGITUDE,UTM ZONE
107,CBA 09,DBM 1/3,FIM,SIM,DBM 1/3 - CHARITAS,19/10/2001,95758,"36,8",2602,,,,AVENIDA QUINTINO BOCAIUVA,S/Nº,CHARITAS,24.360-020,NITERÓI,21 27157182,"43°05'56.32""","22°56'00.93""","-22.933312, -43.099370",9_blue,-22933221,-43099187,"7462612,44","694918,98",23K
108,CBA 09,DBM 2/3,FIM,SIM,DBM 2/3 - MARICÁ,22/12/1998,119309,"363,3",328,,,,RODOVIA RJ 106,KM 29,MARICÁ,24.900-000,MARICÁ,21 26372662,"42°49'26.51""","22°54'23.71""","-22.90577, -42.81493",9_blue,-22905779,-42814937,"7465246,5","724121,84",23K
109,CBA 09,DBM 3/3,FIM,SIM,DBM 3/3 - ITAIPU,05/06/2014,75109,"62,8",1196,,,,EST. FRANCISCO DA CRUZ NUNES,S/Nº,ITAIPU,24.340-000,NITERÓI,21 27099201,"42°48'53.43""","22°54'21.28""","-22.95421, -43.028",9_blue,-22954216,-43028003,"7460191,16","702189,33",23K
110,CBA 09,20º GBM,FIM,SIM,20º GBM - SAO GONÇALO,01/01/1976,610268,"110,4",5528,,,,AVENIDA SÃO MIGUEL,44,SÃO MIGUEL,24.445-680,SÃO GONÇALO,21 37156689,"43°01'55.59""","22°49'01.97""","-22.81724, -43.03224",9_blue,-2281724,-43032243,"7475366,26","701957,16",23K
111,CBA 09,DBM 1/20,FIM,SIM,DBM 1/20 - ITABORAI,27/02/1987,230970,"498,4",463,,,,AVENIDA VEREADOR HERMÍNIO MOREIRA,S/Nº,CENTRO,24.800-000,ITABORAÍ,21 36392524,"42°54'03.72""","22°45'03.72""","-22.74227, -42.85954",9_blue,-2274227,-42859549,"7483422,67","719807,02",23K
112,CBA 09,DBM 2/20,FIM,SIM,DBM 2/20 - RIO BONITO,24/09/2010,80229,"623,9",129,,,,RODOVIA BR 101,KM 267,RIO DOS ÍNDIOS,24.800-000,RIO BONITO,21 36348217,"43°01'08.38""","22°02'41.11""","-22.7137, -42.67415",9_blue,-22713705,-4267415,"7486299,42","738902,74",23K
113,CBA 09,DBM 3/20,FIM,SIM,DBM 3/20 - COLUBANDÊ,22/04/2015,291330,"108,8",2678,,,,RUA OZÓRIO COSTA,S/Nº,COLUBANDÊ,24.744-680,SÃO GONÇALO,21 36054466,,,"-22.84032, -43.01884",9_blue,-22840329,-43018844,"7472790,9","703298,41",23K
115,CBA 10,CER,FIM,NÃO,CER - COORDENADORIA DE EMBARCAÇÃO DE RESGATE,02/04/2013,0,0,0,,,,AVENIDA ARMANDO LOMBARDI,30,BARRA DA TIJUCA,22.640-000,RIO DE JANEIRO,21 23334422,,,"-23.023205, -43.458039",m_blue,-23023001,-43458301,"7453102,62","657982,21",23K
116,CBA 10,1º GMAR,FIM,NÃO,1º GMAR - BOTAFOGO,08/03/1984,0,0,0,,,,AVENIDA REPORTE NESTOR MOREIRA,11,BOTAFOGO,22.290-210,RIO DE JANEIRO,21 23347282,,,"-22.949222, -43.178748",m_blue,-22949439,-43178282,"7460919,22","686783,96",23K
117,CBA 10,DBM 1/M,FIM,SIM,DBM 1/M - PAQUETÁ,19/02/1987,3367,"7,8",432,,,,PRAIA DAS MORENINHAS,S/Nº,PAQUETÁ,20.396-030,RIO DE JANEIRO,21 23347502,,,"-22.754757, -43.111384",m_blue,-22755108,-43111617,"7482353,08","693896,49",23K
118,CBA 10,DBM 2/M,FIM,NÃO,DBM 2/M - RAMOS,08/03/1984,0,0,0,,,,AVENIDA GUANABARA,S/Nº, RAMOS,21.030-080,RIO DE JANEIRO,21 23347880,,,"-22.839892, -43.251265",m_blue,-22840023,-43251243,"7473126,27","679445,39",23K
119,CBA 10,2º GMAR,FIM,NÃO,2º GMAR - BARRA DA TIJUCA,08/03/1984,0,0,0,,,,AVENIDA DO PEPÊ,610,BARRA DA TIJUCA,22.620-170 ,RIO DE JANEIRO,21 23336346,,,"-23.015116, -43.304135",m_blue,-23015012,-43304397,"7453812,94","673766,49",23K
120,CBA 10,DBM 3/M,FIM,NÃO,DBM 3/M - RECREIO DOS BANDEIRANTES,08/03/1984,0,0,0,,,,AVENIDA GLAUCIO GIL,S/Nº,RECREIO DOS BANDEIRANTES,22.795-070,RIO DE JANEIRO,21 23334508,,,"-23.023205, -43.458039",m_blue,-23023001,-43458301,"7453102,62","657982,21",23K
121,CBA 10,DBM 4/M,FIM,NÃO,DBM 4/M - BARRA DE GUARATIBA,02/09/2006,0,0,0,,,,ESTRADA ROBERTO BURLE MARX,9748,BARRA DE GUARATIBA,23.020-240,RIO DE JANEIRO,21 23334231,,,"-23.005759, -43.540352",m_blue,-23066313,-43568365,"7448421,42","646655,02",23K
122,CBA 10,3º GMAR,FIM,NÃO,3º GMAR - COPACABANA,08/03/1984,0,0,0,,,,PRAÇA CORONEL EUGÊNIO FRANCO ,2,COPACABANA,22.070-020,RIO DE JANEIRO,21 23322057,,,"-22.986118, -43.187987",m_blue,-2298623,-43187527,"7456856,78","685785,52",23K
123,CBA 10,4º GMAR,FIM,NÃO,4º GMAR - ITAIPU,02/09/2006,0,0,0,,,,ESTRADA FRANCISCO DA CRUZ NUNES,S/Nº,ITAIPU,24.340-000,NITERÓI,21 27099201,,,"-22.953899, -43.028323",m_blue,-22954127,-43027968,"7460200,97","702193,05",23K
