UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregiao,Microrregião Geográfica,Nome_Microrregião,Município,codIBGE,Nome_Municipio
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330014,Macaé - Rio das Ostras,02,Norte Fluminense,004,Macaé,04151,3304151,Quissamã
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330005,Resende,05,Sul Fluminense,011,Vale do Paraíba Fluminense,04201,3304201,Resende
33,Rio de Janeiro,3301,Rio de Janeiro,330003,Rio Bonito,06,Metropolitana do Rio de Janeiro,016,Macacu-Caceribu,04300,3304300,Rio Bonito
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330004,Volta Redonda - Barra Mansa,05,Sul Fluminense,011,Vale do Paraíba Fluminense,04409,3304409,Rio Claro
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330006,Valença,05,Sul Fluminense,012,Barra do Piraí,04508,3304508,Rio das Flores
33,Rio de Janeiro,3305,Macaé - Rio das Ostras - Cabo Frio,330014,Macaé - Rio das Ostras,04,Baixadas,009,Bacia de São João,04524,3304524,Rio das Ostras
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,04557,3304557,Rio de Janeiro
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,008,Santa Maria Madalena,04607,3304607,Santa Maria Madalena
33,Rio de Janeiro,3304,Campos dos Goytacazes,330012,Santo Antônio de Pádua,01,Noroeste Fluminense,002,Santo Antônio de Pádua,04706,3304706,Santo Antônio de Pádua
33,Rio de Janeiro,3304,Campos dos Goytacazes,330010,Campos dos Goytacazes,02,Norte Fluminense,003,Campos dos Goytacazes,04805,3304805,São Fidélis
33,Rio de Janeiro,3304,Campos dos Goytacazes,330010,Campos dos Goytacazes,02,Norte Fluminense,003,Campos dos Goytacazes,04755,3304755,São Francisco de Itabapoana
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,04904,3304904,São Gonçalo
33,Rio de Janeiro,3304,Campos dos Goytacazes,330010,Campos dos Goytacazes,02,Norte Fluminense,003,Campos dos Goytacazes,05000,3305000,São João da Barra
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,05109,3305109,São João de Meriti
33,Rio de Janeiro,3304,Campos dos Goytacazes,330011,Itaperuna,01,Noroeste Fluminense,002,Santo Antônio de Pádua,05133,3305133,São José de Ubá
